Municipios,Populacao
Sucre,360.544
Yotala,9.081
Poroma,15.777
Azurduy,11.166
Tarvita,13.876
Zudañez,764
Presto,10.042
Mojocoya,7.805
Icla,8.026
Padilla,10.212
Tomina,9.006
Sopachuy,6.067
Villa Alcalá,2.632
El Villar,3.994
Monteagudo,2.512
Huacareta,8.244
Tarabuco,15.342
Yamparáez,8.486
Camargo,15.522
San Lucas,31.389
Incahuasi,12.587
Villa Charcas,15.592
Villa Serrano,10.227
Villa Abecia,3.298
Culpina,17.303
Las Carreras,3.058
Muyupampa,9.448
Huacaya,2.498
Macharetí,7.137
La Paz,956.732
Palca,15.684
Mecapaca,13.204
Achocalla,19.995
El Alto,1.109.048
Achacachi,35.964
Ancoraimes,9.451
Chua Cocani,5.503
Huarina,7.532
Santiago De Huata,7.921
Huatajata,4.579
Coro Coro,9.481
Caquiaviri,10.772
Calacoto,7.904
Comanche,5.413
Charaña,4.735
Waldo Ballivian,3.007
Nazacara De Pacajes,616
Callapa,661
Puerto Acosta,1.035
Mocomoco,12.658
Pto. Carabuco,9.756
Humanata,5.929
Escoma,7.412
Chuma,9.888
Ayata,8.455
Aucapata,6.737
Sorata,18.043
Guanay,13.711
Tacacoma,812
Quiabaya,2.468
Combaya,1.618
Tipuani,8.182
Mapiri,14.741
Teoponte,8.617
Apolo,17.423
Pelechuco,7.444
Viacha,85.172
Guaqui,7.728
Tiahuanacu,9.809
Desaguadero,7.459
San Andrés De Machaca,5.983
Jesús De Machaca,11.926
Taraco,6.502
Luribay,10.196
Sapahaqui,10.185
Yaco,7.679
Malla,3.075
Cairoma,968
Inquisivi,12.401
Quime,8.504
Cajuata,10.606
Colquiri,17.202
Ichoca,6.825
Villa Libertad Licoma,3.201
Chulumani,17.501
Irupana,14.906
Yanacachi,6.446
Palos Blancos,24.074
La Asunta,39.616
Pucarani,24.795
Laja,1.767
Batallas,14.892
Puerto Pérez,767
Sica Sica,20.598
Umala,8.585
Ayo Ayo,8.359
Calamarca,10.836
Patacamaya,22.303
Colquencha,8.157
Collana,39
Coripata,15.679
Ixiamas,969
San Buenaventura,9.708
Charazani,9.267
Curva,3.351
San Pedro De Tiquina,6.099
Tito Yupanqui,1.908
San Pedro Cuarahuara,7.245
Papel Pampa,6.437
Chacarilla,2.218
Santiago De Machaca,4.956
Catacora,1.734
Caranavi,455
Alto Beni,8.837
Cochabamba,856.198
Aiquile,2.119
Pasorapa,2.782
Omereque,4.531
Independencia,22.493
Morochata,10.555
Cocapata,17.644
Tarata,10.033
Anzaldo,5.182
Arbieto,17.914
Sacabamba,3.166
Arani,9.294
Vacas,8.133
Arque,9.987
Tacopaya,7.522
Capinota,21.252
Santivañez,6.722
Sicaya,3.895
Cliza,22.402
Toko,5.638
Tolata,5.969
Quillacollo,185.142
Sipe Sipe,48.275
Tiquipaya,64.061
Vinto,60.239
Colcapirhua,52.945
Sacaba,184.593
Colomi,21.131
Villa Tunari,86.437
Tapacarí,22.769
Totora,15.988
Pojo,10.146
Pocona,9.365
Chimoré,25.616
Puerto Villarroel,62.832
Entre Rios,38.381
Mizque,28.417
Vila Vila,4.459
Alalay,2.499
Punata,46.901
Villa Rivero,757
San Benito,10.733
Tacachi,634
Cuchumuela,1.571
Bolívar,6.422
Tiraque,21.201
Shinahota,26.283
Oruro,351.802
Caracollo,21.177
El Choro,3.487
Soracachi,1.201
Challapata,33.015
Quillacas,3.871
Corque,7.704
Choque Cota,980
Curahuara De Carangas,4.252
Turco,3.287
Huachacalla,1.465
Escara,1.375
Cruz De Machacamarca,530
Yunguyo De Litoral,419
Esmeralda,1.017
Poopó,6.959
Pazña,5.412
Antequera,3.295
Huanuni,25.625
Machacamarca,5.728
Salinas De García Mendoza,9.776
Pampa Aullagas,3.007
Sabaya,6.365
Coipasa,684
Chipaya,1.818
Toledo,6.308
Eucaliptus,51
Santiago De Andamarca,4.277
Belén De Andamarca,1.501
San Pedro De Totora,4.635
Huari,9.899
La Rivera,381
Todos Santos,535
Carangas,557
Huayllamarca,4.835
Potosí,26.918
Tinguipaya,23.008
Yocalla,7.708
Urmiri,2.046
Uncía,23.072
Chayanta,1.628
Llallagua,50.922
Chuquihuta,8.287
Betanzos,32.736
Chaquí,8.773
Tacobamba,9.384
Colquechaca,36.106
Ravelo,18.362
Pocoata,25.531
Ocurí,15.366
S.P. De Buena Vista,30.981
Toro Toro,12.484
Cotagaita,25.826
Vitichi,9.151
Villa Desacaca,20.175
Caripuyo,9.128
Tupiza,51.903
Atocha,12.849
Colcha K,13.288
San Pedro De Quemes,750
San Pablo De Lipez,3.351
Mojinete,848
San Antonio De Esmoruco,2.188
Puna,1.993
Caiza D,1.057
Ckochas,16.121
Uyuni,377
Tomave,	3.255
Porco,13.337
Arampampa,4.746
Acasio,5.618
Llica,4.133
Tahua,171
Villazón,47.287
San Agustín,1.997
Tarija,272.692
Padcaya,19.148
Bermejo,44.062
Yacuiba,109.481
Caraparí,16.532
Villamontes,55.704
Uriondo,16.359
Yunchará,5.675
Villa San Lorenzo,25.904
El Puente,11.786
Entre Ríos,23.871
Santa Cruz De La Sierra,1.903.398
Cotoca,80.023
Porongo,14.496
La Guardia,114.318
El Torno,71.884
Warnes,144.193
Okinawa Uno,14.001
San Ignacio De Velasco,68.575
San Miguel De Velasco,1.306
San Rafael,6.512
Buena Vista,14.929
San Carlos,24.598
Yapacaní,60.784
San Juan De Yapacani,10.152
San Joséde Chiquitos,32.465
Pailón,44.248
Roboré,19.224
Portachuelo,37.793
Santa Rosa Del Sara,19.182
Colpa Belgica,6.947
Lagunillas,6.563
Charagua,3.681
Cabezas,29.843
Cuevo,5.022
Gutiérrez,15.921
Camiri,42.613
Boyuibe,5.324
Vallegrande,1.851
Trigal,1.575
Moro Moro,2.583
Postrer Valle,2.071
Pucara,1.747
Samaipata,10.653
Pampa Grande,9.889
Mairana,13.006
Quirusillas,2.158
Montero,147.078
Gral. Saavedra,17.556
Mineros,28.483
Fernández Alonso,14.742
San Pedro,17.441
Concepción,26.438
San Javier,176
San Ramón,9.803
San Julián,55.136
San Antonio De Lomerío,7.004
Cuatro Cañadas,26.256
San Matías,17.929
Comarapa,19.982
Saipina,731
Puerto Suarez,23.113
Puerto Quijarro,19.328
Carmen Rivero Torrez,7.069
Ascensión De Guarayos,35.743
Urubichá,8.122
El Puente,14.196
Trinidad,166.262
San Javier,4.043
Riberalta,114.869
Guayaramerín,51.188
Reyes,11.811
San Borja,42.262
Santa Rosa,10.395
Rurrenabaque,2.158
Santa Ana De Yacuma,18.502
Exaltación,4.085
San Ignacio,21.188
Loreto,2.926
San Andrés,13.134
San Joaquín,6.069
San Ramón,5.294
Puerto Siles,1.116
Magdalena,1.218
Baures,5.365
Huacaraje,4.069
Cobija,90.277
Porvenir,8.243
Bolpebra,2.574
Bella Flor,4.195
Puerto Rico,10.759
San Pedro,1.757
Filadelfia,8.123
Puerto Gonzales Moreno,724
San Lorenzo,9.358
Sena,8.213
Santa Rosa,2.741
Ingavi,2.537
Nueva Esperanza,184
Villa Nueva - Loma Alta,3.177
Santos Mercado,2.693
